title,_0,author,_,publisher,isbn,readDate,_1,_2,thumnailImage,_3,_4,_5,_6
働くことの哲学,,ラース・スヴェンセン/小須田健,,紀伊國屋書店,9784314011365,2024/12/04,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1365/9784314011365.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/13931101/?rafcid=wsc_b_ts_1041780577891483119,2024/12/04,0,0
GE帝国盛衰史,,トーマス・グリタ/テッド　マン/御立　英史,,ダイヤモンド社,9784478115244,2024/12/01,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5244/9784478115244_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17148398/?rafcid=wsc_b_ts_1041780577891483119,2024/12/01,0,0
戦物語,,西尾 維新/VOFAN,,講談社,9784065312629,2024/11/10,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2629/9784065312629_1_8.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17468959/?rafcid=wsc_b_ts_1074811299340939423,2024/11/10,0,0
世界で一番やさしい考え方の教科書,,榊巻 亮,,日経BP,9784296202010,2024/11/09,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2010/9784296202010_1_4.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17466716/?rafcid=wsc_b_ts_1074811299340939423,2024/11/09,0,0
納税、のち、ヘラクレスメス のべつ考える日々,,品田遊,,朝日新聞出版,9784022519979,2024/11/09,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9979/9784022519979_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17982288/?rafcid=wsc_b_ts_1096541467273124371,2024/11/09,0,0
ソース焼きそばの謎,,塩崎　省吾,,早川書房,9784153400061,2024/10/26,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0061/9784153400061_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17519631/,2024/10/26,0,0
狂気とバブル,,チャールズ・マッケイ/塩野未佳,,パンローリング,9784775970379,2024/10/12,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7759/77597037.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/1690643/,2024/10/12,0,0
千歳くんはラムネ瓶のなか(9),,裕夢/raemz,,小学館,9784094532036,2024/09/29,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2036/9784094532036_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17938341/,2024/09/29,0,0
ユリイカ(2024 10(第56巻第12),,,,青土社,9784791704538,2024/09/28,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4538/9784791704538_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/18004895/,2024/09/28,0,0
メディアと私たち,,堤未果/中島岳志,,NHK出版,9784144072376,2024/09/28,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2376/9784144072376.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15626359/,2024/09/28,0,0
賃金とは何か,,濱口桂一郎,,朝日新聞出版,9784022952745,2024/09/28,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2745/9784022952745_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17909366/,2024/09/28,0,0
世界の今を読み解く 政治思想マトリックス,,茂木 誠,,PHP研究所,9784569903880,2024/09/21,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3880/9784569903880_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17845596/,2024/09/21,0,0
2000億円超を運用した伝説のファンドマネジャーの 株トレ,,窪田真之,,ダイヤモンド社,9784478114179,2024/09/21,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4179/9784478114179_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16893418/,2024/09/21,0,0
口に関するアンケート,,背筋,,ポプラ社,9784591182253,2024/09/16,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2253/9784591182253_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17902484/,2024/09/16,0,0
地政学の逆襲,,ロバート・カプラン/櫻井祐子,,朝日新聞出版,9784022952707,2024/09/16,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2707/9784022952707_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17879650/,2024/09/16,0,0
世界で一番やさしい 資料作りの教科書,,榊巻 亮,,日経BP,9784296103942,2024/09/15,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3942/9784296103942.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16133575/,2024/09/15,0,0
結物語,,西尾 維新/VOFAN,,講談社,9784062839006,2024/09/08,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9006/9784062839006.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/14573592/,2024/09/08,0,0
OSO18を追え “怪物ヒグマ”との闘い560日,,藤本 靖,,文藝春秋,9784163918723,2024/09/08,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8723/9784163918723_1_21.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17883067/,2024/09/08,0,0
わが投資術 市場は誰に微笑むか,,清原 達郎,,講談社,9784065350355,2024/09/07,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0355/9784065350355_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17770405/,2024/09/07,0,0
世界で一番やさしい会議の教科書,,榊巻亮,,日経BP,9784822271787,2024/08/31,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1787/9784822271787.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/13438752/,2024/08/31,0,0
東京、はじまる,,門井 慶喜,,文藝春秋,9784167920258,2024/08/27,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0258/9784167920258_1_7.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17419811/,2024/08/27,0,0
負けヒロインが多すぎる！(3),,雨森 たきび/いみぎむる,,小学館,9784094530643,2024/08/26,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0643/9784094530643_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17082540/,2024/08/26,0,0
負けヒロインが多すぎる！(2),,雨森 たきび/いみぎむる,,小学館,9784094530414,2024/08/16,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0414/9784094530414_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16916516/,2024/08/16,0,0
イシューからはじめよ,,安宅　和人,,英治出版,9784862760852,2024/08/14,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0852/9784862760852_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/6868931/,2024/08/14,0,0
ちいさくはじめるデザインシステム,,大塚亜周/稲葉志奈/金森 悠/samemaru/圓山伊吹/植田将基,,ビー・エヌ・エヌ,9784802512480,2024/08/13,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2480/9784802512480_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17440966/,2024/08/13,0,0
コメンテーター,,奥田 英朗,,文藝春秋,9784163916873,2024/07/28,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6873/9784163916873_1_8.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17475301/,2024/07/28,0,0
ヴィクトリア朝時代のインターネット,,トム・スタンデージ/服部　桂,,早川書房,9784150506094,2024/07/27,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6094/9784150506094_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17815424/,2024/07/27,0,0
凶乱令嬢ニア・リストン 1 病弱令嬢に転生した神殺しの武人の華麗なる無双録,,南野海風/磁石,,ホビージャパン,9784798629704,2024/07/21,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9704/9784798629704_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17271146/,2024/07/21,0,0
家康、江戸を建てる,,門井慶喜,,祥伝社,9784396344740,2024/07/17,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4740/9784396344740.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15696640/,2024/07/17,0,0
悪役令嬢レベル99 その6 〜私は裏ボスですが魔王ではありません〜,,七夕　さとり/Tea,,KADOKAWA,9784040752518,2024/07/17,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2518/9784040752518_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17694879/,2024/07/17,0,0
サイバースペースの地政学,,小宮山　功一朗/小泉　悠,,早川書房,9784153400269,2024/07/16,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0269/9784153400269_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17871782/,2024/07/16,0,0
戦争と人類,,グウィン・ダイヤー/月沢　李歌子,,早川書房,9784153400153,2024/07/14,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0153/9784153400153_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17598327/,2024/07/14,0,0
ユニクロ,,杉本 貴司,,日経BP,9784296001866,2024/07/13,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1866/9784296001866_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17823039/,2024/07/13,0,0
