Book,ASIN,Section,Location,Highlight,Note
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,114,われわれは腹の中に問題を解きたいという自然の欲求をもっているために、どうやらせっかちに解答に飛び込んでしまったようだ。たぶん答をいう前に、２、３の問いを発した方が賢明であろう。 だがそれはどういう種類の問いか？ それは誰にとって問題なのか、何が問題なのか、ないしは問題とは何か、というのがそれである。,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,134,未熟な問題解決者は、きっと解くべき問題を定義する時間を惜しんで解答にとびつくものである。経験を積んだ問題解決者すら、社会的圧力にさらされると、この「急ぎたい」という気持ちに負ける。負けてしまえば、解答はたくさん見つかるが、それが解くべき問題の解答だという保証はない。,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,149,この精神的切り換えの練習をするには、早い時期から次の問いに答えようとしてみるのがよい。 問題を抱えているのは誰か？ そして、それは自分だという人ごとに あなたの問題の本質は何ですか？ とたずねてみるがよい。,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,239,ある。彼らが感じる困難とは、つまりものごとの進行のしかたと、彼らの方針、つまり彼らがものごとの進行に関して抱いている意見とのずれにほかならない。この状況を「おやおや、問題を抱えちゃったぞ！」というように表現することはまったく自然である。というのは問題とは、まさにその種のずれそのものであるからだ。,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,243,問題とは、望まれた事柄と 認識された事柄の間の相違である,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,448,問題定義に関する重要な教訓を、二つも得ることになったからである。その第１は、 彼らの解決方法を 問題の定義と取り違えるな そして第２は 彼らの問題をあまりやすやすと 解いてやると、 彼らは本当の問題を解いてもらったとは 決して信じない,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,522,た。問題解決に関する 本当 の問題点は、こうなんだ。 問題の正しい定義が得られたかどうかは 決してわからない、 問題が解けたあとでも,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,551,問題を扱う上で本当に大事なのは、問いは決して答えられることがないと覚悟することなんだ。だがそれは、問い続けている限りは、どうでもいいことなんだ。だまされて究極の解答を得たと思い込むのは、まんまとだまされて究極の問題定義、つまり究極の、真の答えを得たと思い込んだときに限るんだ。で、そう思ったとしたら、それは必ず間違いなんだ。なぜなら『究極の解答』なんてものは存在しないからだ。」 ここまできて、ビリーの気持ちは休まった。止まりはしなかったが、休まったのだ。一晩よく寝たあと、彼は町へ出て、自分の机に飾るための青銅の飾り板を注文した。それにはこう彫ってあった。 正しい問題定義が得られたという確信は 決して得られない。 だがその確信を得ようとする努力は、 決してやめてはいけない,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,624,キミの問題理解をおじゃんにする原因を 三つ考えられないうちは、 キミはまだ問題を把握していない どんな問題定義でも、見落とされる 恐れ のある要素は何百とある。そのうちのたった三つを考え出せないようだったら、それは読者が考える能力、または意志に欠けているということを示しているのだ。,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,967,他人が自分の問題を自分で 完全に解けるときに、 それを解いてやろうとするな 関係者たちは問題についてよりよく理解し、感じをつかんでいた。また彼らの解答は「自分たちの」解答だったから、それを実施して行く上での気の入れようが違っていた。彼らが投資した時間──それは１学期45時間のうちの90分だった──も、それを成功させたいと彼らに思わせる、一つのの理由づけを与えた。,
ライト、ついてますか　問題発見の人間学,B09BDWRCXN,,972,もし教師がまったく同じ提案を、権威の座から垂れたとしたらどうであったろうか？ それは受け入れられないか、またはたとえ受け入れられたとしても真に熱意をもって実行されはしなかったであろう。われわれの友人の一人は第１級のぼんやり教授で、よく高級レストランへ行ってごちそうを食べたあとで、財布を忘れてきたことに気づく。そういうとき彼は単に経営者にほほえみかけて、こういう。「 僕たちは ちょっと問題を抱えているみたいですよ。」彼がもし「 あなたは 問題を抱えている」とか、まして「 私は 問題を抱えている」とかいったらどうなるんでしょうね。 もしそれが彼らの問題なら、 それを彼らの問題にしてしまえ,
文庫版　近畿地方のある場所について (角川文庫),B0FH6285C3,,"2,186",みい。あんたも周りからもてはやされたら自分が偉くなくても、そんな気してくるやろ。それと一緒や。みんなから敬われて、恐れられて、そうしていくうちに神様になってまうんや。それが、だんだん忘れられる。神様でも仏様でも、化け物でも、みんなが知っとらんと薄れてしまうんや。だから、忘れられそうになったら悪さして自分の存在を知らしめる。そんなもんやと思うで」,
はじめての日本国債 (集英社新書),B0DSYC77DJ,,473,債券の世界では、債券の投資から得られるリターンを「金利」や「利回り（イールド）」ということから、債券価格が上がれば、リターン（金利・利回り） は下がることになります。債券を勉強する際、金利が上がると価格は下がること、すなわち、金利と価格が逆の動きをすることを理解するのは難しいとされますが、高い値段で買うと、リターンが下がると考えれば当たり前に感じられるはずです。,
はじめての日本国債 (集英社新書),B0DSYC77DJ,,484,私たちは日々、新聞などで「金利」という言葉を目にしますが、流通市場で取引されている国債の価格からリターンを計算したうえで、それを「金利」と呼んでいます。「本日、金利が上昇した」というニュースが意味していることは、すでに発行された国債が、流通（中古） 市場で価格が下がることで、国債に投資するリターン（金利） が上がったということです。,
はじめての日本国債 (集英社新書),B0DSYC77DJ,,590,一方で、読者が国債を購入した後、価格が下がったとしましょう。仮に売却するつもりがなくても、購入後に市場価格が低下したら、そのときの市場価格で損益を評価します。これを「評価損」といいます（例えば、読者が１００円で国債を購入した後、 99 円に価格が下がった場合、１円の評価損を抱えている状態です）。その一方で、債券の特徴は、その発行体である国や会社が破産しなければ、最後は１００円で償還されるため、市場参加者の中には、債券は最後まで持ち切れば、損失は限定されていると考える人もいます。,
